Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
My Salinger Year,2020,71,75266,Philippe Falardeau," New York in the 90s: After leaving graduate school to pursue her dream of becoming a writer, Joanna (Margaret Qualley)...","Margaret Qualley, Sigourney Weaver, Douglas Booth, SeÃ¡na Kerslake",No consensus yet.
Palmer,2021,72,77791,Fisher Stevens," Former high school football star Eddie Palmer (Justin Timberlake) went from hometown hero to convicted felon, earning himself 12 years...","Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb",No consensus yet.
Cruella,2021,74,96642,Craig Gillespie," Academy Award (R) winner Emma Stone (""La La Land"") stars in Disney's ""Cruella,"" an all-new live-action feature film about the...","Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser",
Percy Vs Goliath,2020,75,76998,Clark Johnson," Academy AwardÂ® Winner Christopher Walken*, Zach Braff and Christina Ricci star in the true story of a small-town farmer taking...",Peter Stebbings,No consensus yet.
Pixie,2020,75,77253,Barnaby Thompson, Pixie Hardy sets out to avenge her mother's death and attempts a heist that will give her the means to...,"Dylan Moran, Chris Walley",No consensus yet.
Blue Bayou,2021,75,79746,Justin Chon," From award-winning writer/director Justin Chon, Blue Bayou is the moving and timely story of a uniquely American family fighting for...","Justin Chon, Alicia Vikander, Mark O'Brien, Linh Dan Pham",No consensus yet.
The World to Come,2020,75,81902,Mona Fastvold," In this powerful 19th century romance set in the American Northeast, Abigail (Katherine Waterston), a farmer's wife, and her new...","Katherine Waterston, Vanessa Kirby, Casey Affleck, Christopher Abbott",
The Mauritanian,2021,75,86230,Kevin Macdonald," Directed by Kevin Macdonald and based on the NY Times best-selling memoir ""GuantÃ¡namo Diary"" by Mohamedou Ould Slahi, this is...","Jodie Foster, Tahar Rahim, Shailene Woodley, Benedict Cumberbatch",
Godzilla vs. Kong,2021,75,97726,Adam Wingard," Legends collide in ""Godzilla vs. Kong"" as these mythic adversaries meet in a spectacular battle for the ages, with the...","Alexander SkarsgÃ¥rd, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry","Delivering squarely on its title,"
Spoor,2017,76,76560,Agnieszka Holland," A retired woman gets mixed up in a mystery when avid hunters in her mountain village begin turning up dead,...","Agnieszka Mandat-Grabka, Wiktor Zborowski, Jakub GierszaÅ, Patrycja Volny",No consensus yet.
Son,2021,76,77634,Ivan Kavanagh," After a mysterious group of individuals breaks into Laura's home and attempts to steal her eight-year-old son, David, the two...","Andi Matichak, Emile Hirsch, Luke David Blumm, Rocco Sisto","A horror story with unexpected emotional resonance,"
The Map of Tiny Perfect Things,2021,76,79527,Ian Samuels," The film tells the story of quick-witted teen Mark, contentedly living the same day in an endless loop whose world...","Kathryn Newton, Kyle Allen, Jermaine Harris, Anna Mikami",No consensus yet.
Malignant,2021,76,83305,James Wan," Paralyzed by fear from shocking visions, a woman's torment worsens as she discovers her waking dreams are terrifying realities....","Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White",Although
Surge,2020,77,78778,Aneil Karia," Joseph (Ben Whishaw) is trapped in a soulless job, living a life devoid of emotion and meaning. After an impulsive...","Ben Whishaw, Ellie Haddington, Ian Gelder, Jasmine Jobson",No consensus yet.
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,2021,77,78512,Jed Rothstein, WeWork: or The Making and Breaking of a $47 Billion Unicorn is a feature documentary that explores the rise and...,Adam Neumann,"It's hard to ignore the parts that are left unexamined, but"
Stowaway,2021,77,82396,Joe Penna, A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of...,"Anna Kendrick, Daniel Dae Kim, Toni Collette, Shamier Anderson",Pacing problems prevent
Shadow in the Cloud,2020,77,83728,Roseanne Liang," In the throes of World War II, Captain Maude Garrett (CHLOÃ GRACE MORETZ) joins the all-male crew of a B-17...","ChloÃ« Grace Moretz, Nick Robinson, Beulah Koale, Taylor John Smith","Part creature feature, part war movie, and part social commentary,"
Small Engine Repair,2021,78,79074,John Pollono," Frankie (John Pollono), Swaino (Jon Bernthal) and Packie (Shea Wigham) are lifelong friends who share a love of the Red...","John Pollono, Jon Bernthal, Shea Whigham, Ciara Bravo",No consensus yet.
Bad Trip,2021,78,80494,Kitao Sakurai, Hidden cameras capture two best friends pulling hilarious and inventive pranks on an unsuspecting public....,"Eric AndrÃ©, Lil Rel Howery, Tiffany Haddish, Michaela Conlin",No consensus yet.
The Water Man,2020,78,81587,David Oyelowo, Gunner (Lonnie Chavis) sets out on a quest to save his ill mother (Rosario Dawson) by searching for a mythic...,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller",No consensus yet.
I Care a Lot,2020,78,90550,J Blakeson," Poised with sharklike self-assurance, Marla Grayson (Academy Award nominee Rosamund Pike) is a professional, court-appointed guardian for dozens of elderly...","Rosamund Pike, Peter Dinklage, Eiza GonzÃ¡lez, Dianne Wiest",No consensus yet.
The Night,2020,79,81887,Kourosh Ahari," After a night out with friends, an exhausted married couple, Babak (Shahab Hosseini), Neda (Niousha Noor) and their baby take...","Shahab Hosseini, Niousha Noor, Leah Oganyan, Kathreen Khavari",The dramatic heft and dread of
To All the Boys: Always and Forever,2021,79,81401,Michael Fimognari, Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers...,"Lana Condor, Noah Centineo, Janel Parrish, Madeleine Arthur",No consensus yet.
Everybody's Talking About Jamie,2021,79,82643,Jonathan Butterell," Inspired by true events, Everybody's Talking About Jamie follows Jamie New (Max Harwood), a teenager from Sheffield, who dreams of...","Max Harwood, Sarah Lancashire, Lauren Patel, Shobna Gulati","It may not be as effervescent as its title character, but"
In The Earth,2021,79,87243,Ben Wheatley," As the world searches for a cure to a disastrous virus, a scientist and park scout venture deep in the...","Joel Fry, Reece Shearsmith, Hayley Squires, Ellora Torchia",No consensus yet.
Black Widow,2021,79,105044,Cate Shortland," Natasha Romanoff, aka Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her...","Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",No consensus yet.
Safety,2020,80,82000,Reginald Hudlin," âSafetyâ is a drama inspired by the empowering story of former Clemson University football safety Ray McElrathbey (Jay Reeves), a...","Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave",No consensus yet.
