Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
My Salinger Year,2020,71,75266.0,Philippe Falardeau," New York in the 90s: After leaving graduate school to pursue her dream of becoming a writer, Joanna (Margaret Qualley)...","Margaret Qualley, Sigourney Weaver, Douglas Booth, SeÃ¡na Kerslake",No consensus yet.
Palmer,2021,72,77791.0,Fisher Stevens," Former high school football star Eddie Palmer (Justin Timberlake) went from hometown hero to convicted felon, earning himself 12 years...","Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb",No consensus yet.
Cruella,2021,74,96642.0,Craig Gillespie," Academy Award (R) winner Emma Stone (""La La Land"") stars in Disney's ""Cruella,"" an all-new live-action feature film about the...","Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser",
Percy Vs Goliath,2020,75,76998.0,Clark Johnson," Academy AwardÂ® Winner Christopher Walken*, Zach Braff and Christina Ricci star in the true story of a small-town farmer taking...",Peter Stebbings,No consensus yet.
Pixie,2020,75,77253.0,Barnaby Thompson, Pixie Hardy sets out to avenge her mother's death and attempts a heist that will give her the means to...,"Dylan Moran, Chris Walley",No consensus yet.
Blue Bayou,2021,75,79746.0,Justin Chon," From award-winning writer/director Justin Chon, Blue Bayou is the moving and timely story of a uniquely American family fighting for...","Justin Chon, Alicia Vikander, Mark O'Brien, Linh Dan Pham",No consensus yet.
The World to Come,2020,75,81902.0,Mona Fastvold," In this powerful 19th century romance set in the American Northeast, Abigail (Katherine Waterston), a farmer's wife, and her new...","Katherine Waterston, Vanessa Kirby, Casey Affleck, Christopher Abbott",
The Mauritanian,2021,75,86230.0,Kevin Macdonald," Directed by Kevin Macdonald and based on the NY Times best-selling memoir ""GuantÃ¡namo Diary"" by Mohamedou Ould Slahi, this is...","Jodie Foster, Tahar Rahim, Shailene Woodley, Benedict Cumberbatch",
Godzilla vs. Kong,2021,75,97726.0,Adam Wingard," Legends collide in ""Godzilla vs. Kong"" as these mythic adversaries meet in a spectacular battle for the ages, with the...","Alexander SkarsgÃ¥rd, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry","Delivering squarely on its title,"
Spoor,2017,76,76560.0,Agnieszka Holland," A retired woman gets mixed up in a mystery when avid hunters in her mountain village begin turning up dead,...","Agnieszka Mandat-Grabka, Wiktor Zborowski, Jakub GierszaÅ, Patrycja Volny",No consensus yet.
Son,2021,76,77634.0,Ivan Kavanagh," After a mysterious group of individuals breaks into Laura's home and attempts to steal her eight-year-old son, David, the two...","Andi Matichak, Emile Hirsch, Luke David Blumm, Rocco Sisto","A horror story with unexpected emotional resonance,"
The Map of Tiny Perfect Things,2021,76,79527.0,Ian Samuels," The film tells the story of quick-witted teen Mark, contentedly living the same day in an endless loop whose world...","Kathryn Newton, Kyle Allen, Jermaine Harris, Anna Mikami",No consensus yet.
Malignant,2021,76,83305.0,James Wan," Paralyzed by fear from shocking visions, a woman's torment worsens as she discovers her waking dreams are terrifying realities....","Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White",Although
